ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq259	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	NA	13	13	22	3	1	2	0	0
sq260	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAJISJ01	11	2	14	33	0	9	0	0
sq261	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	0	10	40
sq262	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	6	0	19	13	0	0	0	0
sq263	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	NA	27	3	13	1	0	0	0	0
sq264	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	0	8	54
sq265	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	26	1	23	5	0	2	0	0
sq266	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	10	0	3	7	7	3	0	0
sq267	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	5	0	18	2	0	0	0	8
sq268	Archaea	Thermoproteota	NA	NA	NA	NA	9	2	0	4	0	0	0	0
sq269	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SM1-50	28	30	16	75	0	4	0	0
sq270	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	30	7	7	82	1	6	0	0
sq271	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	15	0	5	9	1	5	0	2
sq272	Archaea	Asgardarchaeota	Thorarchaeia	Thorarchaeales	Thorarchaeaceae	NA	35	4	7	12	4	4	0	1
sq273	Archaea	Thermoproteota	Bathyarchaeia	40CM-2-53-6	NA	NA	2	17	17	8	0	2	0	0
sq274	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	10	27	9	12	0	7	0	4
sq275	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	NA	6	2	7	4	0	0	0	0
sq276	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	Hadarchaeaceae	DG-33	0	27	10	3	0	1	0	0
sq277	Archaea	Thermoproteota	NA	NA	NA	NA	24	32	7	9	1	6	0	0
sq278	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	5	0	3	45	0	16	2	1
sq279	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	20	0	0	16	0	0	0	0
sq280	Archaea	Thermoproteota	NA	NA	NA	NA	3	0	0	6	0	0	0	0
sq281	Archaea	Asgardarchaeota	Thorarchaeia	Thorarchaeales	Thorarchaeaceae	WTCK01	11	2	0	8	1	0	2	3
sq282	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SG8-52-3	11	57	6	43	2	16	2	4
sq283	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	11	0	2	7	2	0	0	0
sq284	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	8	6	9	38	4	19	4	0
sq285	Archaea	Thermoproteota	Bathyarchaeia	40CM-2-53-6	NA	NA	2	9	15	10	0	0	0	0
sq286	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	3	0	0	0	0	0	0	0
sq287	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	18	3	27	74	2	10	0	10
sq288	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	25	0	3	9	0	2	1	0
sq289	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	11	0	20	28	0	3	0	0
sq290	Archaea	Thermoproteota	Bathyarchaeia	NA	NA	NA	4	12	3	5	0	3	0	1
sq291	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	5	3	2	7	0	4	0	0
sq292	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	10	18	9	1	0	1	0	0
sq293	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	QMZP01	JAFGSV01	JAFGFG01	3	15	4	7	0	4	0	0
sq294	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	11	0	9	6	0	0	0	0
sq295	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	NA	1	21	10	0	2	0	0	0
sq296	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	4	0	0	1	0	0	0	0
sq297	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	15	1	12	9	0	0	0	0
sq298	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	1	0	0	0	0
sq299	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	19	0	20	9	0	1	0	0
sq300	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	1	0	0	0	7	19	2	0
sq301	Archaea	Altiarchaeota	Altiarchaeia	IMC4	WOR-SM1-SCG	WOR-SM1-SCG	0	12	6	1	1	3	0	0
sq302	Archaea	Asgardarchaeota	Heimdallarchaeia	Hodarchaeales	Hodarchaeaceae	Hodarchaeum	9	0	0	2	0	0	0	0
sq303	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	3	7	3	3	0	0	0	0
sq304	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	8	0	2	10	1	0	0	0
sq305	Archaea	Micrarchaeota	Micrarchaeia	Anstonellales	Bilamarchaeaceae	Bilamarchaeum	1	0	0	2	0	0	0	0
sq306	Archaea	Thermoplasmatota	EX4484-6	EX4484-6	EX4484-6	EX4484-6	4	0	7	26	0	8	0	0
sq307	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	5	26	8	3	0	3	0	0
sq308	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	9	4	5	79	1	6	0	0
sq309	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	5	0	13	9	1	0	0	0
sq310	Archaea	Thermoproteota	Bathyarchaeia	B26-1	SOJC01	SOJC01	11	2	7	19	0	4	0	0
sq311	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	10	4	8	7	0	1	0	0
sq312	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	3	0	8	6	0	6	0	7
sq313	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	0	0	0	0	0	1	0	5
sq314	Archaea	Altiarchaeota	Altiarchaeia	IMC4	WOR-SM1-SCG	WOR-SM1-SCG	0	5	0	1	0	0	0	0
sq315	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	BIN-L-1	6	0	3	2	0	1	0	0
sq316	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	11	9	0	1	0	0	0	0
sq317	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ASMP01	4	0	6	1	0	0	0	0
sq318	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	7	0	0	1	0	1	0	1
sq319	Archaea	NA	NA	NA	NA	NA	6	16	10	9	0	0	0	0
sq320	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	11	0	0	17	1	23	5	6
sq321	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	4	0	14	10	0	1	0	0
sq322	Archaea	NA	NA	NA	NA	NA	0	0	5	2	0	0	0	0
sq323	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	8	19	8	45	2	1	0	0
sq324	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	11	0	9	4	0	0	0	0
sq325	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	3	0	8	9	1	5	0	0
sq326	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	6	0	3	4	0	1	0	0
sq327	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	7	6	2	25	0	8	0	5
sq328	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	4	22	10	4	0	2	0	0
sq329	Archaea	Thermoproteota	NA	NA	NA	NA	7	25	13	6	1	2	0	0
sq330	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SM1-50	15	0	3	24	0	1	0	0
sq331	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	NA	10	0	4	6	2	1	0	0
sq332	Archaea	NA	NA	NA	NA	NA	4	0	14	17	0	4	0	0
sq333	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	0	0	0	0	0	2	0	0
sq334	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SM1-50	8	16	14	28	0	6	0	0
sq335	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JABIDS01	11	25	1	3	0	0	0	0
sq336	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	15	15	12	21	2	0	0	0
sq337	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	0	0	9	2	0	0	0	0
sq338	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	2	0	1	28	3	16	1	0
sq339	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	8	15	0	28	3	5	0	3
sq340	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	8	28	4	9	0	4	0	0
sq341	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	5	0	0	0	0	0	0	0
sq342	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	12	0	2	9	0	0	0	0
sq343	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanocomedenaceae	Kmv04	5	0	0	0	0	0	0	0
sq344	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NA	2	18	8	6	0	3	0	0
sq345	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	NA	10	4	3	35	0	4	0	1
sq346	Archaea	NA	NA	NA	NA	NA	0	0	0	6	0	0	0	0
